Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
39,09/06/2026,16:33,Incident,Problème 39,Description détaillée du problème numéro 39,Solved,High,"[""PC-DEV-039""]"
40,10/06/2026,17:40,Request,Problème 40,Description détaillée du problème numéro 40,Closed,Low,"[""MN-DEV-040""]"
41,11/06/2026,10:47,Incident,Problème 41,Description détaillée du problème numéro 41,New,Medium,"[""PC-DEV-041""]"
42,12/06/2026,11:54,Request,Problème 42,Description détaillée du problème numéro 42,Processing,High,"[""PC-DEV-042""]"
43,13/06/2026,12:01,Incident,Problème 43,Description détaillée du problème numéro 43,Solved,Low,"[""PC-DEV-043""]"
44,14/06/2026,13:08,Request,Problème 44,Description détaillée du problème numéro 44,Closed,Medium,"[""PC-DEV-044""]"
45,15/06/2026,14:15,Incident,Problème 45,Description détaillée du problème numéro 45,New,High,"[""MN-DEV-045""]"
46,16/06/2026,15:22,Request,Problème 46,Description détaillée du problème numéro 46,Processing,Low,"[""PC-DEV-046""]"
47,17/06/2026,16:29,Incident,Problème 47,Description détaillée du problème numéro 47,Solved,Medium,"[""PC-DEV-047""]"
48,18/06/2026,17:36,Request,Problème 48,Description détaillée du problème numéro 48,Closed,High,"[""PC-DEV-048""]"
49,19/06/2026,10:43,Incident,Problème 49,Description détaillée du problème numéro 49,New,Low,"[""PC-DEV-049""]"
50,20/06/2026,11:50,Request,Problème 50,Description détaillée du problème numéro 50,Processing,Medium,"[""MN-DEV-050""]"
51,21/06/2026,12:57,Incident,Problème 51,Description détaillée du problème numéro 51,Solved,High,"[""PC-DEV-051""]"
52,22/06/2026,13:04,Request,Problème 52,Description détaillée du problème numéro 52,Closed,Low,"[""PC-DEV-052""]"
53,23/06/2026,14:11,Incident,Problème 53,Description détaillée du problème numéro 53,New,Medium,"[""PC-DEV-053""]"
54,24/06/2026,15:18,Request,Problème 54,Description détaillée du problème numéro 54,Processing,High,"[""PC-DEV-054""]"
55,25/06/2026,16:25,Incident,Problème 55,Description détaillée du problème numéro 55,Solved,Low,"[""MN-DEV-055""]"
56,26/06/2026,17:32,Request,Problème 56,Description détaillée du problème numéro 56,Closed,Medium,"[""PC-DEV-056""]"
57,27/06/2026,10:39,Incident,Problème 57,Description détaillée du problème numéro 57,New,High,"[""PC-DEV-057""]"
58,28/06/2026,11:46,Request,Problème 58,Description détaillée du problème numéro 58,Processing,Low,"[""PC-DEV-058""]"
59,29/06/2026,12:53,Incident,Problème 59,Description détaillée du problème numéro 59,Solved,Medium,"[""PC-DEV-059""]"
60,30/06/2026,13:00,Request,Problème 60,Description détaillée du problème numéro 60,Closed,High,"[""MN-DEV-060""]"
61,01/06/2026,14:07,Incident,Problème 61,Description détaillée du problème numéro 61,New,Low,"[""PC-DEV-061""]"
62,02/06/2026,15:14,Request,Problème 62,Description détaillée du problème numéro 62,Processing,Medium,"[""PC-DEV-062""]"
63,03/06/2026,16:21,Incident,Problème 63,Description détaillée du problème numéro 63,Solved,High,"[""PC-DEV-063""]"
64,04/06/2026,17:28,Request,Problème 64,Description détaillée du problème numéro 64,Closed,Low,"[""PC-DEV-064""]"
65,05/06/2026,10:35,Incident,Problème 65,Description détaillée du problème numéro 65,New,Medium,"[""MN-DEV-065""]"
66,06/06/2026,11:42,Request,Problème 66,Description détaillée du problème numéro 66,Processing,High,"[""PC-DEV-066""]"
67,07/06/2026,12:49,Incident,Problème 67,Description détaillée du problème numéro 67,Solved,Low,"[""PC-DEV-067""]"
68,08/06/2026,13:56,Request,Problème 68,Description détaillée du problème numéro 68,Closed,Medium,"[""PC-DEV-068""]"
69,09/06/2026,14:03,Incident,Problème 69,Description détaillée du problème numéro 69,New,High,"[""PC-DEV-069""]"
70,10/06/2026,15:10,Request,Problème 70,Description détaillée du problème numéro 70,Processing,Low,"[""MN-DEV-070""]"
71,11/06/2026,16:17,Incident,Problème 71,Description détaillée du problème numéro 71,Solved,Medium,"[""PC-DEV-071""]"
72,12/06/2026,17:24,Request,Problème 72,Description détaillée du problème numéro 72,Closed,High,"[""PC-DEV-072""]"
73,13/06/2026,10:31,Incident,Problème 73,Description détaillée du problème numéro 73,New,Low,"[""PC-DEV-073""]"
74,14/06/2026,11:38,Request,Problème 74,Description détaillée du problème numéro 74,Processing,Medium,"[""PC-DEV-074""]"
75,15/06/2026,12:45,Incident,Problème 75,Description détaillée du problème numéro 75,Solved,High,"[""MN-DEV-075""]"
76,16/06/2026,13:52,Request,Problème 76,Description détaillée du problème numéro 76,Closed,Low,"[""PC-DEV-076""]"
77,17/06/2026,14:59,Incident,Problème 77,Description détaillée du problème numéro 77,New,Medium,"[""PC-DEV-077""]"
78,18/06/2026,15:06,Request,Problème 78,Description détaillée du problème numéro 78,Processing,High,"[""PC-DEV-078""]"
79,19/06/2026,16:13,Incident,Problème 79,Description détaillée du problème numéro 79,Solved,Low,"[""PC-DEV-079""]"
80,20/06/2026,17:20,Request,Problème 80,Description détaillée du problème numéro 80,Closed,Medium,"[""MN-DEV-080""]"
81,21/06/2026,10:27,Incident,Problème 81,Description détaillée du problème numéro 81,New,High,"[""PC-DEV-081""]"
82,22/06/2026,11:34,Request,Problème 82,Description détaillée du problème numéro 82,Processing,Low,"[""PC-DEV-082""]"
83,23/06/2026,12:41,Incident,Problème 83,Description détaillée du problème numéro 83,Solved,Medium,"[""PC-DEV-083""]"
84,24/06/2026,13:48,Request,Problème 84,Description détaillée du problème numéro 84,Closed,High,"[""PC-DEV-084""]"
85,25/06/2026,14:55,Incident,Problème 85,Description détaillée du problème numéro 85,New,Low,"[""MN-DEV-085""]"
86,26/06/2026,15:02,Request,Problème 86,Description détaillée du problème numéro 86,Processing,Medium,"[""PC-DEV-086""]"
87,27/06/2026,16:09,Incident,Problème 87,Description détaillée du problème numéro 87,Solved,High,"[""PC-DEV-087""]"
88,28/06/2026,17:16,Request,Problème 88,Description détaillée du problème numéro 88,Closed,Low,"[""PC-DEV-088""]"
89,29/06/2026,10:23,Incident,Problème 89,Description détaillée du problème numéro 89,New,Medium,"[""PC-DEV-089""]"
90,30/06/2026,11:30,Request,Problème 90,Description détaillée du problème numéro 90,Processing,High,"[""MN-DEV-090""]"
91,01/06/2026,12:37,Incident,Problème 91,Description détaillée du problème numéro 91,Solved,Low,"[""PC-DEV-091""]"
92,02/06/2026,13:44,Request,Problème 92,Description détaillée du problème numéro 92,Closed,Medium,"[""PC-DEV-092""]"
93,03/06/2026,14:51,Incident,Problème 93,Description détaillée du problème numéro 93,New,High,"[""PC-DEV-093""]"
94,04/06/2026,15:58,Request,Problème 94,Description détaillée du problème numéro 94,Processing,Low,"[""PC-DEV-094""]"
95,05/06/2026,16:05,Incident,Problème 95,Description détaillée du problème numéro 95,Solved,Medium,"[""MN-DEV-095""]"
96,06/06/2026,17:12,Request,Problème 96,Description détaillée du problème numéro 96,Closed,High,"[""PC-DEV-096""]"
97,07/06/2026,10:19,Incident,Problème 97,Description détaillée du problème numéro 97,New,Low,"[""PC-DEV-097""]"
98,08/06/2026,11:26,Request,Problème 98,Description détaillée du problème numéro 98,Processing,Medium,"[""PC-DEV-098""]"
99,09/06/2026,12:33,Incident,Problème 99,Description détaillée du problème numéro 99,Solved,High,"[""PC-DEV-099""]"
100,10/06/2026,13:40,Request,Problème 100,Description détaillée du problème numéro 100,Closed,Low,"[""MN-DEV-100""]"
