Name,Status,Location,Manufacturer,Item_Type,Model,Inventory_Number,User
PC-DEV-087,En panne,Bibliothèque,Lenovo,Computer,ThinkCentre M70,ITU-2026-0087,
PC-DEV-088,En production,Magasin Informatique,Apple,Computer,MacBook Pro,ITU-2026-0088,User 88
PC-DEV-089,Maintenance,Salle 301,Asus,Computer,VivoBook,ITU-2026-0089,User 89
MN-DEV-090,En stock,Administration,Dell,Monitor,OptiPlex 7010,ITU-2026-0090,
PC-DEV-091,En panne,Comptabilité,HP,Computer,ProDesk 400 G9,ITU-2026-0091,User 91
PC-DEV-092,En production,Laboratoire IA,Lenovo,Computer,ThinkCentre M70,ITU-2026-0092,User 92
PC-DEV-093,Maintenance,Bibliothèque,Apple,Computer,MacBook Pro,ITU-2026-0093,
PC-DEV-094,En stock,Magasin Informatique,Asus,Computer,VivoBook,ITU-2026-0094,User 94
MN-DEV-095,En panne,Salle 301,Dell,Monitor,OptiPlex 7010,ITU-2026-0095,User 95
PC-DEV-096,En production,Administration,HP,Computer,ProDesk 400 G9,ITU-2026-0096,
PC-DEV-097,Maintenance,Comptabilité,Lenovo,Computer,ThinkCentre M70,ITU-2026-0097,User 97
PC-DEV-098,En stock,Laboratoire IA,Apple,Computer,MacBook Pro,ITU-2026-0098,User 98
PC-DEV-099,En panne,Bibliothèque,Asus,Computer,VivoBook,ITU-2026-0099,
MN-DEV-100,En production,Magasin Informatique,Dell,Monitor,OptiPlex 7010,ITU-2026-0100,User 100
